tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
467,1/4/2015 17:16,1/4/2015 17:24,110,Harvard University Gund Hall at Quincy St / Kirkland S,42.376369,-71.114025,104,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,42.380287,-71.125107,766,Customer,1962,2
234,1/4/2015 17:18,1/4/2015 17:22,117,Binney St / Sixth St,42.366095,-71.086388,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,1060,Subscriber,\N,0
1519,1/4/2015 17:18,1/4/2015 17:43,142,Alewife Station at Russell Field,42.396105,-71.139459,108,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,42.377945,-71.116865,741,Subscriber,1944,1
431,1/4/2015 17:19,1/4/2015 17:26,107,Ames St at Main St,42.3625,-71.08822,75,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469,-71.10057324,860,Subscriber,1986,2
391,1/4/2015 17:22,1/4/2015 17:29,95,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,75,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469,-71.10057324,1271,Subscriber,1989,1
905,1/4/2015 17:29,1/4/2015 17:44,84,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,42.366981,-71.076472,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,956,Subscriber,1984,2
1654,1/4/2015 17:46,1/4/2015 18:14,141,Kendall Street,42.36356016,-71.08216792,116,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,1085,Subscriber,1984,1
1106,1/4/2015 17:54,1/4/2015 18:13,73,Harvard Square at Brattle St / Eliot St,42.373231,-71.120886,105,Lower Cambridgeport at Magazine St/Riverside Rd,42.356954,-71.113687,1303,Customer,1978,2
330,1/4/2015 18:03,1/4/2015 18:09,108,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,42.377945,-71.116865,73,Harvard Square at Brattle St / Eliot St,42.373231,-71.120886,962,Subscriber,1986,1
549,1/4/2015 18:11,1/4/2015 18:20,105,Lower Cambridgeport at Magazine St/Riverside Rd,42.356954,-71.113687,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,854,Subscriber,1989,2
422,1/4/2015 18:28,1/4/2015 18:35,108,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,42.377945,-71.116865,88,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427,1292,Subscriber,1991,2
401,1/4/2015 18:42,1/4/2015 18:48,116,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,89,Harvard Law School at Mass Ave / Jarvis St,42.379011,-71.119945,672,Subscriber,1989,2
695,1/4/2015 18:49,1/4/2015 19:00,118,Linear Park - Mass. Ave. at Cameron Ave. ,42.397828,-71.130516,89,Harvard Law School at Mass Ave / Jarvis St,42.379011,-71.119945,1077,Customer,1963,2
497,1/4/2015 18:49,1/4/2015 18:57,87,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,1031,Subscriber,1984,2
1015,1/4/2015 18:52,1/4/2015 19:09,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,149,Harvard University Transportation Services - 175 North Harvard St,42.363796,-71.129164,956,Subscriber,1985,1
309,1/4/2015 18:55,1/4/2015 19:00,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,1060,Subscriber,1991,1
211,1/4/2015 18:59,1/4/2015 19:02,107,Ames St at Main St,42.3625,-71.08822,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,1089,Subscriber,1986,1
304,1/4/2015 19:04,1/4/2015 19:09,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,854,Subscriber,1987,1
610,1/4/2015 19:11,1/4/2015 19:21,88,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,797,Customer,1982,1
173,1/4/2015 19:17,1/4/2015 19:20,107,Ames St at Main St,42.3625,-71.08822,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,957,Subscriber,1986,1
446,1/4/2015 19:24,1/4/2015 19:31,104,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,42.380287,-71.125107,110,Harvard University Gund Hall at Quincy St / Kirkland S,42.376369,-71.114025,766,Customer,1962,2
276,1/4/2015 19:29,1/4/2015 19:33,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,75,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469,-71.10057324,957,Subscriber,1987,1
470,1/4/2015 19:30,1/4/2015 19:37,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,105,Lower Cambridgeport at Magazine St/Riverside Rd,42.356954,-71.113687,1031,Subscriber,1984,2
1028,1/4/2015 19:51,1/4/2015 20:08,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,70,Harvard Kennedy School at Bennett St / Eliot St,42.371196,-71.121473,1060,Customer,1979,1
271,1/4/2015 19:52,1/4/2015 19:56,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,854,Subscriber,1993,1
481,1/4/2015 20:08,1/4/2015 20:16,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,886,Subscriber,1993,1
406,1/4/2015 20:25,1/4/2015 20:31,76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,89,Harvard Law School at Mass Ave / Jarvis St,42.379011,-71.119945,1092,Customer,1978,1
278,1/4/2015 20:29,1/4/2015 20:34,80,MIT Stata Center at Vassar St / Main St,42.3619622,-71.0920526,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,1281,Subscriber,1985,2
236,1/4/2015 20:37,1/4/2015 20:41,110,Harvard University Gund Hall at Quincy St / Kirkland S,42.376369,-71.114025,73,Harvard Square at Brattle St / Eliot St,42.373231,-71.120886,1171,Customer,1986,1
500,1/4/2015 20:56,1/4/2015 21:04,88,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,1004,Subscriber,1991,2
613,1/4/2015 21:23,1/4/2015 21:33,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,84,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,42.366981,-71.076472,651,Subscriber,\N,0
488,1/4/2015 21:28,1/4/2015 21:36,73,Harvard Square at Brattle St / Eliot St,42.373231,-71.120886,116,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,1171,Subscriber,1991,1
211,1/4/2015 23:04,1/4/2015 23:07,107,Ames St at Main St,42.3625,-71.08822,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,682,Subscriber,1978,2
1223,1/4/2015 23:19,1/4/2015 23:40,80,MIT Stata Center at Vassar St / Main St,42.3619622,-71.0920526,118,Linear Park - Mass. Ave. at Cameron Ave. ,42.397828,-71.130516,1287,Subscriber,1964,1
313,1/4/2015 23:25,1/4/2015 23:31,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,115,Porter Square Station,42.387995,-71.119084,784,Subscriber,1991,2
738,1/4/2015 23:30,1/4/2015 23:42,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,104,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,42.380287,-71.125107,682,Subscriber,\N,0
285,1/5/2015 0:53,1/5/2015 0:58,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,1015,Subscriber,1991,1
256,1/5/2015 0:54,1/5/2015 0:59,116,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,95,Cambridge St - at Columbia St / Webster Ave,42.372969,-71.094445,1264,Customer,1987,1
708,1/5/2015 0:59,1/5/2015 1:11,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,118,Linear Park - Mass. Ave. at Cameron Ave. ,42.397828,-71.130516,1004,Subscriber,1988,1
195,1/5/2015 5:34,1/5/2015 5:37,104,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,42.380287,-71.125107,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,682,Subscriber,1989,1
439,1/5/2015 5:54,1/5/2015 6:02,104,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,42.380287,-71.125107,87,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214,1324,Customer,1970,1
587,1/5/2015 6:10,1/5/2015 6:20,116,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,1085,Customer,1961,2
314,1/5/2015 6:12,1/5/2015 6:17,105,Lower Cambridgeport at Magazine St/Riverside Rd,42.356954,-71.113687,68,Central Square at Mass Ave / Essex St,42.36507,-71.1031,874,Customer,1983,1
651,1/5/2015 6:13,1/5/2015 6:23,84,CambridgeSide Galleria - CambridgeSide PL at Land Blvd,42.366981,-71.076472,80,MIT Stata Center at Vassar St / Main St,42.3619622,-71.0920526,640,Customer,1960,2
395,1/5/2015 6:14,1/5/2015 6:21,87,Harvard University Housing - 115 Putnam Ave at Peabody Terrace,42.366621,-71.114214,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,1324,Subscriber,1989,2
166,1/5/2015 6:42,1/5/2015 6:45,89,Harvard Law School at Mass Ave / Jarvis St,42.379011,-71.119945,70,Harvard Kennedy School at Bennett St / Eliot St,42.371196,-71.121473,1077,Subscriber,1980,1
1593,1/5/2015 6:52,1/5/2015 7:19,74,Harvard Square at Mass Ave/ Dunster,42.373268,-71.118579,42,Boylston St. at Arlington St.,42.352033,-71.070627,940,Customer,1966,1
833,1/5/2015 7:10,1/5/2015 7:24,96,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075,118,Linear Park - Mass. Ave. at Cameron Ave. ,42.397828,-71.130516,647,Subscriber,1989,1
627,1/5/2015 7:14,1/5/2015 7:24,96,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075,141,Kendall Street,42.36356016,-71.08216792,673,Customer,1987,2
284,1/5/2015 7:14,1/5/2015 7:19,88,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,890,Customer,1982,1
121,1/5/2015 7:15,1/5/2015 7:17,88,Inman Square at Vellucci Plaza / Hampshire St,42.374035,-71.101427,116,359 Broadway - Broadway at Fayette Street,42.370803,-71.104412,1292,Customer,1990,1
990,1/5/2015 7:20,1/5/2015 7:37,75,Lafayette Square at Mass Ave / Main St / Columbia St,42.36346469,-71.10057324,21,Prudential Center / Belvidere,42.345959,-71.082578,957,Subscriber,\N,0
473,1/5/2015 7:23,1/5/2015 7:31,76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,141,Kendall Street,42.36356016,-71.08216792,646,Customer,1989,1
414,1/5/2015 7:27,1/5/2015 7:34,143,EF - North Point Park,42.369885,-71.069957,107,Ames St at Main St,42.3625,-71.08822,876,Customer,1987,1
285,1/5/2015 7:28,1/5/2015 7:33,115,Porter Square Station,42.387995,-71.119084,108,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,42.377945,-71.116865,857,Subscriber,1966,1
122,1/5/2015 7:28,1/5/2015 7:30,107,Ames St at Main St,42.3625,-71.08822,141,Kendall Street,42.36356016,-71.08216792,863,Customer,1973,1
286,1/5/2015 7:29,1/5/2015 7:34,70,Harvard Kennedy School at Bennett St / Eliot St,42.371196,-71.121473,108,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,42.377945,-71.116865,683,Subscriber,1985,1
1051,1/5/2015 7:29,1/5/2015 7:47,115,Porter Square Station,42.387995,-71.119084,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,1090,Customer,1961,1
878,1/5/2015 7:29,1/5/2015 7:44,115,Porter Square Station,42.387995,-71.119084,91,One Kendall Square at Hampshire St / Portland St,42.366277,-71.09169,784,Customer,1961,1
808,1/5/2015 7:30,1/5/2015 7:43,115,Porter Square Station,42.387995,-71.119084,117,Binney St / Sixth St,42.366095,-71.086388,644,Subscriber,1959,1
172,1/5/2015 7:33,1/5/2015 7:36,67,MIT at Mass Ave / Amherst St,42.3581,-71.093198,80,MIT Stata Center at Vassar St / Main St,42.3619622,-71.0920526,685,Customer,1953,1
271,1/5/2015 7:36,1/5/2015 7:41,96,Cambridge Main Library at Broadway / Trowbridge St,42.373379,-71.111075,76,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,737,Customer,1983,1
543,1/5/2015 7:39,1/5/2015 7:48,105,Lower Cambridgeport at Magazine St/Riverside Rd,42.356954,-71.113687,97,Harvard University River Houses at DeWolfe St / Cowperthwaite St,42.36919032,-71.11714125,1303,Subscriber,1965,1
